data2,data1,loggerUid,logDateTime,dateTime,PAR,control
35.25,6552,CDFB19377155,1690642800,29-07-2023 18:00:00,126.8422,
35.19,5241,CDFB19377155,1690643400,29-07-2023 18:10:00,102.4576,
35.06,4028,CDFB19377155,1690644000,29-07-2023 18:20:00,79.8958,
34.94,2969,CDFB19377155,1690644600,29-07-2023 18:30:00,60.1984,
34.63,2041,CDFB19377155,1690645200,29-07-2023 18:40:00,42.9376,
34.44,1296,CDFB19377155,1690645800,29-07-2023 18:50:00,29.0806,
34.25,690,CDFB19377155,1690646400,29-07-2023 19:00:00,17.809,
34.13,277,CDFB19377155,1690647000,29-07-2023 19:10:00,10.1272,
34,66,CDFB19377155,1690647600,29-07-2023 19:20:00,6.2026,
33.81,8,CDFB19377155,1690648200,29-07-2023 19:30:00,5.1238,
33.63,0,CDFB19377155,1690648800,29-07-2023 19:40:00,4.975,
33.5,0,CDFB19377155,1690649400,29-07-2023 19:50:00,4.975,
33.44,0,CDFB19377155,1690650000,29-07-2023 20:00:00,4.975,
33.38,0,CDFB19377155,1690650600,29-07-2023 20:10:00,4.975,
33.31,0,CDFB19377155,1690651200,29-07-2023 20:20:00,4.975,
33.31,0,CDFB19377155,1690651800,29-07-2023 20:30:00,4.975,
33.19,0,CDFB19377155,1690652400,29-07-2023 20:40:00,4.975,
33.06,0,CDFB19377155,1690653000,29-07-2023 20:50:00,4.975,
33.06,0,CDFB19377155,1690653600,29-07-2023 21:00:00,4.975,
33.06,0,CDFB19377155,1690654200,29-07-2023 21:10:00,4.975,
33.06,0,CDFB19377155,1690654800,29-07-2023 21:20:00,4.975,
33.06,0,CDFB19377155,1690655400,29-07-2023 21:30:00,4.975,
33.06,0,CDFB19377155,1690656000,29-07-2023 21:40:00,4.975,
33,0,CDFB19377155,1690656600,29-07-2023 21:50:00,4.975,
33,0,CDFB19377155,1690657200,29-07-2023 22:00:00,4.975,
33,0,CDFB19377155,1690657800,29-07-2023 22:10:00,4.975,
33,0,CDFB19377155,1690658400,29-07-2023 22:20:00,4.975,
33,0,CDFB19377155,1690659000,29-07-2023 22:30:00,4.975,
33,0,CDFB19377155,1690659600,29-07-2023 22:40:00,4.975,
33.06,0,CDFB19377155,1690660200,29-07-2023 22:50:00,4.975,
33.06,0,CDFB19377155,1690660800,29-07-2023 23:00:00,4.975,
33.06,0,CDFB19377155,1690661400,29-07-2023 23:10:00,4.975,
33.06,0,CDFB19377155,1690662000,29-07-2023 23:20:00,4.975,
33,0,CDFB19377155,1690662600,29-07-2023 23:30:00,4.975,
33,0,CDFB19377155,1690663200,29-07-2023 23:40:00,4.975,
33,0,CDFB19377155,1690663800,29-07-2023 23:50:00,4.975,
33.06,0,CDFB19377155,1690664400,30-07-2023 00:00:00,4.975,
33.06,0,CDFB19377155,1690665000,30-07-2023 00:10:00,4.975,
33.06,0,CDFB19377155,1690665600,30-07-2023 00:20:00,4.975,
33.06,0,CDFB19377155,1690666200,30-07-2023 00:30:00,4.975,
33.06,0,CDFB19377155,1690666800,30-07-2023 00:40:00,4.975,
33.06,0,CDFB19377155,1690667400,30-07-2023 00:50:00,4.975,
33,0,CDFB19377155,1690668000,30-07-2023 01:00:00,4.975,
32.94,0,CDFB19377155,1690668600,30-07-2023 01:10:00,4.975,
32.88,0,CDFB19377155,1690669200,30-07-2023 01:20:00,4.975,
32.69,0,CDFB19377155,1690669800,30-07-2023 01:30:00,4.975,
32.5,0,CDFB19377155,1690670400,30-07-2023 01:40:00,4.975,
32.31,0,CDFB19377155,1690671000,30-07-2023 01:50:00,4.975,
32.19,0,CDFB19377155,1690671600,30-07-2023 02:00:00,4.975,
